                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.48099,                0.95488,                 1.0008,                0.63949,                0.77178,                0.85683,                0.53388,                 1.6409,                 1.6366,                 2.5562,             5.4475e-05,             5.4475e-05,             5.4475e-05
                     81,                0.47284,                0.97035,                0.99015,                0.61343,                0.79757,                0.87146,                0.55118,                 1.5859,                  1.485,                 2.5342,                5.2e-05,                5.2e-05,                5.2e-05
                     82,                0.46365,                0.96385,                0.99496,                0.56348,                0.84047,                0.87224,                0.54998,                 1.5911,                 1.4663,                 2.5234,             4.9525e-05,             4.9525e-05,             4.9525e-05
                     83,                0.45852,                0.93134,                 1.0096,                0.69504,                0.74724,                0.87079,                0.53996,                 1.5971,                 1.5322,                 2.5042,              4.705e-05,              4.705e-05,              4.705e-05
                     84,                 0.4789,                 1.0036,                 1.0198,                 0.7319,                0.72729,                0.87356,                0.54428,                 1.6045,                 1.5412,                 2.4743,             4.4575e-05,             4.4575e-05,             4.4575e-05
                     85,                0.46969,                0.95896,                 1.0057,                0.66733,                0.76344,                0.87427,                0.55279,                 1.5911,                  1.588,                 2.4288,               4.21e-05,               4.21e-05,               4.21e-05
                     86,                0.45683,                0.92373,                0.99508,                0.77434,                0.69488,                0.87364,                0.55414,                 1.5745,                 1.5158,                 2.4764,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     87,                0.45153,                0.92487,                 1.0035,                0.72477,                 0.7061,                0.87462,                0.54468,                 1.5587,                 1.4853,                 2.4773,              3.715e-05,              3.715e-05,              3.715e-05
                     88,                0.46003,                0.93358,                 1.0139,                0.66264,                0.77409,                0.86173,                0.52584,                 1.5776,                 1.5466,                 2.4378,             3.4675e-05,             3.4675e-05,             3.4675e-05
                     89,                0.44681,                0.94794,                 1.0016,                0.69486,                0.71944,                0.85022,                0.52632,                 1.6136,                 1.6012,                 2.4482,               3.22e-05,               3.22e-05,               3.22e-05
                     90,                 0.4327,                0.93339,                0.99381,                0.67431,                0.71944,                0.84952,                0.52084,                 1.5993,                 1.5524,                 2.4319,             2.9725e-05,             2.9725e-05,             2.9725e-05
                     91,                  0.421,                0.86702,                0.97989,                0.70246,                0.74132,                0.86961,                0.53811,                 1.6266,                 1.4867,                 2.5092,              2.725e-05,              2.725e-05,              2.725e-05
                     92,                 0.4004,                 0.9019,                0.97543,                0.66705,                 0.7131,                0.86832,                0.49847,                 1.6879,                 1.6783,                 2.6164,             2.4775e-05,             2.4775e-05,             2.4775e-05
                     93,                0.40949,                 0.8862,                 0.9933,                0.70179,                0.70748,                0.87304,                0.50556,                 1.7348,                  1.582,                 2.6381,               2.23e-05,               2.23e-05,               2.23e-05
                     94,                 0.3873,                0.83282,                0.98103,                0.72044,                0.73409,                0.86983,                0.52321,                 1.7547,                 1.4457,                 2.6169,             1.9825e-05,             1.9825e-05,             1.9825e-05
                     95,                0.41511,                0.83368,                0.99649,                0.59876,                0.83788,                0.85906,                0.51884,                 1.7504,                 1.4392,                 2.6286,              1.735e-05,              1.735e-05,              1.735e-05
                     96,                0.42818,                0.90565,                0.99844,                0.61601,                0.76111,                0.85512,                0.51639,                 1.7433,                 1.4602,                 2.6263,             1.4875e-05,             1.4875e-05,             1.4875e-05
                     97,                0.38669,                0.77525,                0.96256,                0.65005,                0.76111,                0.85516,                 0.5206,                 1.7496,                 1.4341,                 2.6866,               1.24e-05,               1.24e-05,               1.24e-05
                     98,                0.38918,                0.79691,                0.96107,                0.67918,                0.76111,                0.85481,                0.51968,                 1.7523,                 1.4551,                 2.6867,              9.925e-06,              9.925e-06,              9.925e-06
                     99,                0.39365,                 0.7809,                0.97364,                  0.674,                0.73333,                0.85562,                0.51306,                 1.7343,                 1.4615,                  2.664,               7.45e-06,               7.45e-06,               7.45e-06
                    100,                0.40263,                0.78995,                0.97713,                0.66477,                0.76111,                0.85498,                 0.5221,                 1.7654,                 1.4437,                 2.6919,              4.975e-06,              4.975e-06,              4.975e-06
